c_as,total_n,total_m,total_bw,b_n,b_m,b_bw
21891,4997.0,4997.0,14548.0,2166.0,2166.0,4377.0
202703,4999.0,4999.0,22870.0,3829.0,3829.0,10518.0
205322,4997.0,4997.0,15222.0,1354.0,1354.0,3037.0
15675,4999.0,4999.0,15132.0,2648.0,2648.0,4582.0
29508,4997.0,4997.0,20399.0,1052.0,1052.0,3527.0
13963,4997.0,4997.0,17340.0,2526.0,2526.0,5512.0
18808,4996.0,4996.0,15749.0,4890.0,4890.0,6909.0
51100,4997.0,4997.0,15585.0,2274.0,2274.0,4592.0
21978,4999.0,4999.0,19467.0,1826.0,1826.0,3907.0
59708,4998.0,4998.0,23664.0,2639.0,2639.0,8545.0
205951,4998.0,4998.0,17178.0,4104.0,4104.0,8796.0
24103,4996.0,4996.0,17591.0,2209.0,2209.0,4943.0
197082,4995.0,4995.0,15372.0,3076.0,3076.0,6378.0
265983,4998.0,4998.0,25895.0,2539.0,2539.0,8257.0
43271,4999.0,4999.0,18502.0,2312.0,2312.0,5546.0
203167,4998.0,4998.0,22543.0,1245.0,1245.0,5930.0
393897,4997.0,4997.0,14570.0,4997.0,4997.0,6383.0
24690,5000.0,5000.0,18874.0,2060.0,2060.0,4929.0
43299,4997.0,4997.0,14980.0,1746.0,1746.0,3794.0
137939,4999.0,4999.0,22598.0,2448.0,2448.0,7784.0
35677,4998.0,4998.0,14237.0,1910.0,1910.0,3957.0
266461,4996.0,4996.0,18481.0,3588.0,3588.0,8236.0
36241,4999.0,4999.0,18589.0,2234.0,2234.0,5480.0
36633,4997.0,4997.0,16721.0,4997.0,4997.0,7949.0
44957,4996.0,4996.0,20082.0,2090.0,2090.0,6306.0
19942,4998.0,4998.0,19233.0,4722.0,4722.0,10746.0
393898,4999.0,4999.0,19367.0,1301.0,1301.0,3841.0
41011,4999.0,4999.0,17991.0,945.0,945.0,2832.0
25278,4996.0,4996.0,17964.0,2717.0,2717.0,6397.0
9972,4998.0,4998.0,15074.0,1542.0,1542.0,3391.0
47229,4999.0,4999.0,18123.0,4353.0,4353.0,9419.0
19328,4997.0,4997.0,17085.0,4623.0,4623.0,8056.0
133301,4998.0,4998.0,18389.0,3319.0,3319.0,7458.0
204593,4998.0,4998.0,17292.0,2455.0,2455.0,5377.0
17470,4997.0,4997.0,20445.0,2404.0,2404.0,7183.0
328066,4995.0,4995.0,17829.0,2307.0,2307.0,5450.0
60004,4997.0,4997.0,19770.0,1620.0,1620.0,5155.0
43497,4997.0,4997.0,17911.0,1443.0,1443.0,3986.0
34283,4998.0,4998.0,19155.0,3768.0,3768.0,8401.0
268636,4998.0,4998.0,24878.0,2502.0,2502.0,9122.0
17095,4995.0,4995.0,16292.0,4995.0,4995.0,7170.0
