Number of selected Tier 1 AS,c1,FlowSpec block rate,FlowSpec bandwidth saving,c4,FRIEND block rate,FRIEND bandwidth saving
9000,0.4265125934819039,0.4265125934819039,0.18293679221045792,0.8430304394587429,0.8430304394587429,0.6882851018075098
9000,0.5118781421175058,0.5118781421175058,0.2223915351395291,0.8935594407343488,0.8935594407343488,0.7015100869567581
9000,0.36096645906805735,0.36096645906805735,0.1639726882103383,0.8367824716740452,0.8367824716740452,0.7058123870901091
9000,0.559450739101073,0.559450739101073,0.2898336579882091,0.9117931017233186,0.9117931017233186,0.7103049943383634
9000,0.41743828318451265,0.41743828318451265,0.22986788608216102,0.8574522898376729,0.8574522898376729,0.6920776507402268
9000,0.4970160826392536,0.4970160826392536,0.24782879971943295,0.9079662839848929,0.9079662839848929,0.7045713128336322
9500,0.47809209374452866,0.47809209374452866,0.21644579713533418,0.8917535829519021,0.8917535829519021,0.7452399432884798
9500,0.5121732823090969,0.5121732823090969,0.23005547452399433,0.8914034166228959,0.8914034166228959,0.6984461424068141
9500,0.6762212050724093,0.6762212050724093,0.3972864924087851,0.9541632275330783,0.9541632275330783,0.7724701727580803
9500,0.5954078187138891,0.5954078187138891,0.33758443179053166,0.9533828568570071,0.9533828568570071,0.7696944075535612
9500,0.47616617893499413,0.47616617893499413,0.20814840692554779,0.8656511843125485,0.8656511843125485,0.7075686498933601
9500,0.5118781421175058,0.5118781421175058,0.2239330227702463,0.9002976413796553,0.9002976413796553,0.7139452975791576
9500,0.38028563567694657,0.38028563567694657,0.17563715501737912,0.8466071383907356,0.8466071383907356,0.7178873735307271
9500,0.5844476126159927,0.5844476126159927,0.3135622365435878,0.9168905229984242,0.9168905229984242,0.7193051615367572
9500,0.46130411945674193,0.46130411945674193,0.25520455975847306,0.886781221080013,0.886781221080013,0.7315269563231578
9500,0.4970160826392536,0.4970160826392536,0.2509090563077973,0.9118781421175058,0.9118781421175058,0.7173966530415835
10000,0.47809209374452866,0.47809209374452866,0.23843170625281213,0.906665666191441,0.906665666191441,0.7689494911323681
10000,0.5121732823090969,0.5121732823090969,0.23141752973208837,0.8948500537755434,0.8948500537755434,0.7065151640787165
10000,0.6790975713463895,0.6790975713463895,0.41369640305959465,0.9578149621070008,0.9578149621070008,0.7922335666407939
10000,0.6695080163077461,0.6695080163077461,0.3916805885383462,0.965148445511618,0.965148445511618,0.7870354637308622
10000,0.48184887821715316,0.48184887821715316,0.23262462057518965,0.8949350941697306,0.8949350941697306,0.746383145314435
10000,0.5285060403691754,0.5285060403691754,0.23318602656415457,0.9113979140091544,0.9113979140091544,0.7290611198486243
10000,0.43863835321777844,0.43863835321777844,0.2180443769005224,0.8912433405867787,0.8912433405867787,0.7544453703036622
10000,0.617803456641905,0.617803456641905,0.3645523093088725,0.9282109001775843,0.9282109001775843,0.7351332761505764
10000,0.541987444035917,0.541987444035917,0.3218908914936798,0.8967409519521773,0.8967409519521773,0.7436644722443869
10000,0.5166504089442485,0.5166504089442485,0.2662410130863328,0.9200620294639954,0.9200620294639954,0.7299582819617401
