AS,diff
41795.0,2369.0
41795.0,3505.0
41795.0,5095.0
55048.0,132.0
55048.0,388.0
55048.0,388.0
55048.0,609.0
55048.0,134.0
55048.0,132.0
55048.0,223.0
55048.0,226.0
55048.0,556.0
55048.0,503.0
55048.0,132.0
55048.0,388.0
55048.0,367.0
55048.0,162.0
55048.0,556.0
55048.0,503.0
55048.0,132.0
55048.0,226.0
55048.0,132.0
55048.0,556.0
30607.0,139.0
30607.0,761.0
30607.0,407.0
30607.0,139.0
30607.0,189.0
30607.0,0.0
30607.0,40.0
30607.0,283.0
30607.0,0.0
30607.0,241.0
30607.0,241.0
30607.0,0.0
30607.0,40.0
30607.0,145.0
30607.0,398.0
30607.0,87.0
30607.0,0.0
30607.0,143.0
30607.0,87.0
30607.0,0.0
33636.0,3152.0
33636.0,1252.0
33636.0,2046.0
33636.0,539.0
33636.0,619.0
33636.0,4.0
33636.0,539.0
33636.0,545.0
33636.0,1117.0
33636.0,1170.0
33636.0,1117.0
33636.0,619.0
33636.0,3375.0
33636.0,963.0
33636.0,2271.0
33636.0,545.0
33636.0,0.0
33636.0,3339.0
33636.0,1401.0
33636.0,545.0
9414.0,567.0
9414.0,987.0
9414.0,2319.0
9414.0,2026.0
9414.0,923.0
9414.0,840.0
9414.0,573.0
9414.0,888.0
9414.0,2246.0
9414.0,2081.0
9414.0,567.0
9414.0,935.0
9414.0,1381.0
9414.0,1623.0
9414.0,3.0
9414.0,3.0
9414.0,1181.0
9414.0,318.0
9414.0,987.0
9414.0,318.0
88.0,751.0
88.0,1.0
88.0,773.0
88.0,1.0
88.0,2184.0
88.0,153.0
88.0,616.0
88.0,586.0
88.0,10.0
88.0,153.0
88.0,235.0
