AS,diff
88.0,586.0
88.0,256.0
88.0,171.0
88.0,347.0
88.0,213.0
88.0,72.0
88.0,616.0
88.0,347.0
88.0,1766.0
30484.0,0.0
30484.0,1281.0
30484.0,580.0
30484.0,10959.0
30484.0,1438.0
30484.0,630.0
30484.0,10455.0
30484.0,1176.0
30484.0,580.0
30484.0,630.0
30484.0,580.0
30484.0,776.0
30484.0,70.0
30484.0,10587.0
30484.0,283.0
30484.0,279.0
30484.0,277.0
17433.0,1634.0
17433.0,2047.0
17433.0,1634.0
17433.0,1365.0
17433.0,293.0
17433.0,4.0
17433.0,311.0
17433.0,1634.0
17433.0,762.0
17433.0,1634.0
17433.0,293.0
17433.0,4.0
17433.0,3962.0
17433.0,1634.0
17433.0,293.0
17433.0,1001.0
17433.0,687.0
17433.0,1216.0
17433.0,311.0
17433.0,1216.0
26542.0,387.0
26542.0,0.0
26542.0,2198.0
26542.0,1851.0
26542.0,1300.0
26542.0,1851.0
26542.0,0.0
26542.0,412.0
26542.0,2198.0
26542.0,0.0
26542.0,177.0
26542.0,3976.0
26542.0,509.0
26542.0,3976.0
26542.0,1851.0
26542.0,449.0
26542.0,449.0
26542.0,280.0
26542.0,10893.0
26542.0,2005.0
264473.0,8709.0
264473.0,7284.0
264473.0,6159.0
264473.0,4885.0
264473.0,6159.0
264473.0,4538.0
264473.0,5000.0
264473.0,3699.0
264473.0,14.0
264473.0,5000.0
264473.0,4816.0
264473.0,4885.0
264473.0,6835.0
264473.0,4816.0
264473.0,6318.0
264473.0,6318.0
264473.0,7545.0
264473.0,4786.0
264473.0,7553.0
264473.0,5000.0
36492.0,643.0
36492.0,569.0
36492.0,512.0
36492.0,524.0
36492.0,329.0
36492.0,618.0
36492.0,490.0
36492.0,537.0
36492.0,1212.0
36492.0,922.0
36492.0,1719.0
36492.0,512.0
36492.0,489.0
36492.0,643.0
36492.0,489.0
36492.0,489.0
36492.0,329.0
36492.0,1719.0
36492.0,771.0
36492.0,512.0
9852.0,1845.0
9852.0,2366.0
9852.0,2882.0
9852.0,755.0
9852.0,1.0
9852.0,1279.0
9852.0,1845.0
9852.0,987.0
9852.0,6453.0
9852.0,1791.0
9852.0,953.0
9852.0,755.0
9852.0,1.0
9852.0,2077.0
9852.0,637.0
9852.0,3694.0
9852.0,360.0
9852.0,3694.0
9852.0,2568.0
9852.0,755.0
36390.0,5447.0
36390.0,1786.0
36390.0,3549.0
36390.0,5447.0
36390.0,2115.0
36390.0,5504.0
36390.0,1972.0
36390.0,2311.0
36390.0,6143.0
36390.0,3255.0
36390.0,5447.0
36390.0,5117.0
36390.0,1721.0
36390.0,3255.0
36390.0,4392.0
36390.0,4392.0
36390.0,5447.0
36390.0,5447.0
36390.0,4392.0
36390.0,2272.0
39477.0,2656.0
39477.0,1205.0
39477.0,1490.0
39477.0,1612.0
39477.0,1490.0
39477.0,1205.0
39477.0,6055.0
39477.0,1669.0
39477.0,2.0
39477.0,1205.0
39477.0,2312.0
39477.0,2656.0
39477.0,6055.0
39477.0,844.0
39477.0,2312.0
39477.0,1116.0
39477.0,2312.0
39477.0,847.0
39477.0,787.0
17693.0,3108.0
17693.0,712.0
17693.0,1450.0
17693.0,595.0
17693.0,2182.0
17693.0,2182.0
17693.0,595.0
17693.0,822.0
17693.0,822.0
17693.0,3108.0
17693.0,1103.0
17693.0,401.0
17693.0,595.0
17693.0,2182.0
17693.0,6743.0
17693.0,219.0
17693.0,3689.0
17693.0,2987.0
17693.0,1691.0
17693.0,2987.0
32182.0,149.0
32182.0,0.0
32182.0,247.0
32182.0,462.0
32182.0,516.0
32182.0,1087.0
32182.0,1384.0
32182.0,0.0
32182.0,149.0
32182.0,187.0
32182.0,462.0
32182.0,516.0
32182.0,149.0
32182.0,279.0
32182.0,663.0
32182.0,9595.0
32182.0,0.0
32182.0,64.0
32182.0,149.0
32182.0,462.0
6569.0,6860.0
6569.0,6084.0
6569.0,2324.0
6569.0,0.0
6569.0,6084.0
6569.0,1406.0
6569.0,11497.0
6569.0,3806.0
6569.0,2836.0
6569.0,579.0
6569.0,0.0
6569.0,370.0
6569.0,1406.0
6569.0,3598.0
6569.0,579.0
6569.0,579.0
6569.0,1139.0
6569.0,1082.0
6569.0,3899.0
39789.0,2601.0
39789.0,2601.0
39789.0,2016.0
39789.0,1762.0
39789.0,2738.0
39789.0,6428.0
39789.0,3168.0
39789.0,6428.0
39789.0,5224.0
39789.0,2421.0
39789.0,2601.0
39789.0,630.0
39789.0,6.0
39789.0,3932.0
39789.0,2244.0
39789.0,2738.0
39789.0,2601.0
39789.0,2128.0
39789.0,2994.0
12073.0,4661.0
12073.0,2371.0
12073.0,3558.0
12073.0,3153.0
12073.0,3128.0
12073.0,1951.0
12073.0,1951.0
12073.0,1555.0
12073.0,3558.0
12073.0,2138.0
12073.0,1951.0
12073.0,2650.0
12073.0,1555.0
12073.0,2157.0
12073.0,2138.0
12073.0,2371.0
12073.0,638.0
30409.0,613.0
30409.0,284.0
30409.0,282.0
30409.0,764.0
30409.0,0.0
30409.0,4.0
30409.0,0.0
30409.0,4.0
30409.0,266.0
30409.0,764.0
30409.0,405.0
30409.0,1443.0
30409.0,266.0
30409.0,282.0
30409.0,9309.0
30409.0,574.0
30409.0,825.0
30409.0,1152.0
18978.0,0.0
18978.0,219.0
18978.0,219.0
18978.0,7.0
18978.0,87.0
18978.0,1133.0
18978.0,55.0
18978.0,422.0
18978.0,0.0
18978.0,0.0
18978.0,55.0
18978.0,2059.0
18978.0,1.0
18978.0,59.0
18978.0,1.0
18978.0,87.0
18978.0,59.0
18978.0,1272.0
18978.0,122.0
18978.0,0.0
53373.0,1104.0
53373.0,3612.0
53373.0,973.0
53373.0,3792.0
53373.0,1238.0
53373.0,2870.0
53373.0,6132.0
53373.0,1316.0
53373.0,1104.0
53373.0,4419.0
53373.0,2767.0
53373.0,973.0
53373.0,4759.0
53373.0,6548.0
53373.0,4005.0
53373.0,3612.0
53373.0,2870.0
53373.0,3198.0
53373.0,6548.0
53373.0,973.0
17270.0,2.0
17270.0,3259.0
17270.0,4949.0
17270.0,5590.0
17270.0,1562.0
17270.0,1118.0
17270.0,2331.0
17270.0,1567.0
17270.0,737.0
17270.0,5.0
17270.0,1567.0
17270.0,1562.0
17270.0,1118.0
17270.0,1562.0
17270.0,736.0
17270.0,4458.0
17270.0,1567.0
17270.0,1533.0
17270.0,1788.0
17270.0,1230.0
19.0,197.0
19.0,1097.0
19.0,207.0
19.0,646.0
19.0,177.0
19.0,3.0
19.0,498.0
19.0,646.0
19.0,35.0
19.0,185.0
19.0,160.0
19.0,646.0
19.0,171.0
19.0,3.0
19.0,160.0
19.0,223.0
19.0,9997.0
19.0,633.0
19.0,197.0
62884.0,603.0
62884.0,2625.0
62884.0,2646.0
62884.0,2625.0
62884.0,2812.0
62884.0,1322.0
62884.0,2706.0
62884.0,949.0
62884.0,4537.0
62884.0,2260.0
62884.0,2625.0
62884.0,603.0
62884.0,603.0
62884.0,2841.0
62884.0,2812.0
62884.0,2706.0
62884.0,1391.0
62884.0,2090.0
62884.0,2812.0
62884.0,1379.0
40923.0,0.0
40923.0,4.0
40923.0,196.0
40923.0,0.0
40923.0,1048.0
40923.0,752.0
40923.0,548.0
40923.0,816.0
40923.0,578.0
40923.0,548.0
40923.0,1282.0
40923.0,7783.0
40923.0,380.0
40923.0,214.0
40923.0,280.0
40923.0,1202.0
40923.0,1202.0
40923.0,816.0
40923.0,238.0
44123.0,853.0
44123.0,3212.0
44123.0,3212.0
44123.0,2509.0
44123.0,2297.0
44123.0,1486.0
44123.0,3212.0
44123.0,1649.0
44123.0,1649.0
44123.0,4388.0
44123.0,1649.0
44123.0,853.0
44123.0,2292.0
44123.0,1649.0
44123.0,680.0
44123.0,1649.0
44123.0,827.0
44123.0,3212.0
44123.0,2292.0
44123.0,3623.0
199969.0,1923.0
199969.0,5604.0
199969.0,16.0
199969.0,911.0
199969.0,911.0
199969.0,3679.0
199969.0,2640.0
199969.0,1680.0
199969.0,2640.0
199969.0,5604.0
199969.0,3077.0
199969.0,2433.0
199969.0,3077.0
199969.0,3608.0
199969.0,3700.0
199969.0,2074.0
199969.0,2433.0
199969.0,2951.0
199969.0,2433.0
199969.0,911.0
44949.0,373.0
44949.0,839.0
44949.0,7556.0
44949.0,178.0
44949.0,81.0
44949.0,224.0
44949.0,468.0
44949.0,468.0
44949.0,468.0
44949.0,101.0
44949.0,563.0
44949.0,839.0
44949.0,498.0
44949.0,430.0
44949.0,178.0
44949.0,0.0
44949.0,468.0
37977.0,6984.0
37977.0,5138.0
37977.0,3120.0
37977.0,8241.0
37977.0,10925.0
37977.0,10925.0
37977.0,7034.0
37977.0,9062.0
37977.0,3980.0
37977.0,10173.0
37977.0,14265.0
37977.0,7034.0
37977.0,4312.0
37977.0,7573.0
37977.0,10173.0
37977.0,7573.0
37977.0,4456.0
37977.0,10912.0
37977.0,6984.0
37977.0,22.0
40569.0,5109.0
40569.0,3183.0
40569.0,6.0
40569.0,837.0
40569.0,3183.0
40569.0,2924.0
40569.0,876.0
40569.0,615.0
40569.0,4962.0
40569.0,1697.0
40569.0,2288.0
40569.0,2123.0
40569.0,1697.0
40569.0,1494.0
40569.0,3338.0
40569.0,2288.0
40569.0,2288.0
40569.0,2747.0
40569.0,1494.0
40569.0,876.0
40399.0,3781.0
40399.0,3126.0
40399.0,3126.0
40399.0,1925.0
40399.0,3126.0
40399.0,1868.0
40399.0,7607.0
40399.0,3067.0
40399.0,3422.0
40399.0,844.0
40399.0,970.0
40399.0,1152.0
40399.0,1925.0
40399.0,3147.0
40399.0,2445.0
40399.0,7607.0
40399.0,3318.0
40399.0,2445.0
40399.0,3147.0
40399.0,445.0
11309.0,2713.0
11309.0,1338.0
11309.0,785.0
11309.0,785.0
11309.0,785.0
11309.0,491.0
11309.0,1476.0
11309.0,292.0
11309.0,2645.0
11309.0,1122.0
11309.0,1055.0
11309.0,1338.0
11309.0,2713.0
11309.0,1055.0
11309.0,678.0
11309.0,98.0
11309.0,1338.0
11309.0,98.0
40967.0,568.0
40967.0,565.0
40967.0,2576.0
40967.0,864.0
40967.0,4.0
40967.0,2102.0
40967.0,1596.0
40967.0,2195.0
40967.0,1596.0
40967.0,298.0
40967.0,729.0
40967.0,1596.0
40967.0,4.0
40967.0,2576.0
40967.0,298.0
40967.0,1034.0
40967.0,568.0
40967.0,1034.0
40967.0,2126.0
40967.0,1034.0
56282.0,2720.0
56282.0,5322.0
56282.0,1034.0
56282.0,914.0
56282.0,5322.0
56282.0,2599.0
56282.0,1696.0
56282.0,1264.0
56282.0,2198.0
56282.0,2720.0
56282.0,5322.0
56282.0,914.0
56282.0,5322.0
56282.0,876.0
56282.0,2720.0
56282.0,410.0
56282.0,3840.0
56282.0,2599.0
56282.0,3802.0
56282.0,3840.0
13540.0,1817.0
13540.0,3561.0
13540.0,0.0
13540.0,1035.0
13540.0,2147.0
13540.0,6252.0
13540.0,4250.0
13540.0,7930.0
13540.0,3911.0
13540.0,3561.0
13540.0,2533.0
13540.0,4324.0
13540.0,3016.0
13540.0,724.0
13540.0,0.0
13540.0,724.0
13540.0,728.0
20044.0,8584.0
20044.0,3840.0
20044.0,3348.0
20044.0,8353.0
20044.0,5235.0
20044.0,5765.0
20044.0,4086.0
20044.0,4086.0
20044.0,7783.0
20044.0,8353.0
20044.0,5765.0
20044.0,3952.0
20044.0,5765.0
20044.0,8584.0
20044.0,3044.0
20044.0,8584.0
20044.0,4869.0
20044.0,5235.0
20044.0,9615.0
20044.0,2835.0
3428.0,2208.0
3428.0,7.0
3428.0,759.0
3428.0,4785.0
3428.0,5567.0
3428.0,3566.0
3428.0,3633.0
3428.0,4785.0
3428.0,4785.0
3428.0,2208.0
3428.0,2208.0
3428.0,3566.0
3428.0,1729.0
3428.0,1341.0
3428.0,2974.0
3428.0,1341.0
3428.0,2868.0
3428.0,3566.0
3428.0,2208.0
3428.0,814.0
55531.0,8192.0
55531.0,4760.0
55531.0,9519.0
55531.0,8196.0
55531.0,5481.0
55531.0,5421.0
55531.0,7914.0
55531.0,4250.0
55531.0,8196.0
55531.0,11421.0
55531.0,21.0
55531.0,10523.0
55531.0,10662.0
55531.0,6015.0
55531.0,8382.0
55531.0,8802.0
55531.0,12195.0
55531.0,8192.0
55531.0,11421.0
55531.0,10820.0
3377.0,8494.0
3377.0,9602.0
3377.0,11287.0
3377.0,8494.0
36040.0,138.0
36040.0,0.0
36040.0,36.0
36040.0,1754.0
36040.0,1313.0
36040.0,144.0
36040.0,370.0
36040.0,36.0
36040.0,172.0
36040.0,0.0
36040.0,1754.0
36040.0,0.0
36040.0,125.0
36040.0,127.0
36040.0,430.0
36040.0,0.0
36040.0,0.0
36040.0,373.0
36040.0,0.0
36040.0,0.0
45574.0,3429.0
45574.0,1827.0
45574.0,4437.0
45574.0,6630.0
45574.0,4360.0
45574.0,4234.0
45574.0,1737.0
45574.0,1896.0
45574.0,3373.0
45574.0,1827.0
45574.0,6278.0
45574.0,1827.0
45574.0,4360.0
45574.0,1994.0
45574.0,13.0
45574.0,6162.0
45574.0,6278.0
45574.0,1827.0
45574.0,13.0
45574.0,3429.0
47971.0,5811.0
47971.0,5349.0
47971.0,3073.0
47971.0,4066.0
47971.0,3972.0
47971.0,3073.0
47971.0,1463.0
47971.0,8.0
47971.0,1463.0
47971.0,2384.0
47971.0,970.0
47971.0,2590.0
47971.0,2366.0
47971.0,1697.0
47971.0,2857.0
47971.0,5811.0
47971.0,3108.0
47971.0,3073.0
47971.0,8.0
47971.0,8.0
16015.0,2114.0
16015.0,692.0
16015.0,3401.0
16015.0,2935.0
16015.0,977.0
16015.0,3532.0
16015.0,3201.0
16015.0,3652.0
16015.0,3532.0
16015.0,4968.0
16015.0,692.0
16015.0,2935.0
16015.0,3168.0
16015.0,5.0
16015.0,4968.0
16015.0,2147.0
16015.0,1016.0
16015.0,977.0
16015.0,2436.0
16015.0,2935.0
41706.0,2126.0
41706.0,3.0
41706.0,1862.0
41706.0,2294.0
41706.0,3099.0
41706.0,2222.0
41706.0,2368.0
41706.0,2294.0
41706.0,1123.0
41706.0,1862.0
41706.0,2368.0
41706.0,2758.0
41706.0,2747.0
41706.0,2463.0
41706.0,3.0
41706.0,2294.0
41706.0,1392.0
41706.0,1862.0
41706.0,1983.0
41706.0,3.0
15307.0,2183.0
15307.0,531.0
15307.0,2952.0
15307.0,508.0
15307.0,956.0
15307.0,840.0
15307.0,1928.0
15307.0,0.0
15307.0,0.0
15307.0,1809.0
15307.0,836.0
15307.0,1697.0
15307.0,3023.0
15307.0,3111.0
15307.0,4231.0
15307.0,3.0
15307.0,3.0
15307.0,1928.0
15307.0,4295.0
15307.0,3.0
133167.0,4344.0
133167.0,8805.0
133167.0,4356.0
133167.0,8980.0
133167.0,10889.0
133167.0,4356.0
133167.0,8980.0
133167.0,10073.0
133167.0,6258.0
133167.0,4028.0
133167.0,4356.0
133167.0,4609.0
133167.0,8125.0
133167.0,4356.0
133167.0,8980.0
133167.0,7092.0
133167.0,8125.0
133167.0,10250.0
133167.0,10250.0
133167.0,10250.0
60190.0,947.0
60190.0,724.0
60190.0,502.0
60190.0,502.0
60190.0,477.0
60190.0,1246.0
60190.0,1718.0
60190.0,611.0
60190.0,315.0
60190.0,3.0
60190.0,461.0
60190.0,459.0
60190.0,914.0
60190.0,614.0
60190.0,614.0
60190.0,459.0
60190.0,1246.0
60190.0,4488.0
60190.0,4010.0
60190.0,1246.0
12281.0,863.0
12281.0,1893.0
12281.0,4358.0
12281.0,1035.0
12281.0,863.0
12281.0,3125.0
12281.0,3073.0
12281.0,863.0
12281.0,825.0
12281.0,1893.0
12281.0,2267.0
12281.0,825.0
12281.0,6739.0
12281.0,3196.0
12281.0,3592.0
12281.0,3073.0
12281.0,3073.0
12281.0,0.0
12281.0,3196.0
12281.0,2984.0
262518.0,684.0
262518.0,3600.0
262518.0,1814.0
262518.0,684.0
262518.0,7.0
262518.0,1162.0
262518.0,2017.0
262518.0,7.0
262518.0,2573.0
262518.0,7.0
262518.0,708.0
262518.0,1336.0
262518.0,1147.0
262518.0,650.0
262518.0,650.0
262518.0,650.0
262518.0,1200.0
262518.0,655.0
262518.0,1534.0
262518.0,2017.0
12853.0,3320.0
12853.0,2355.0
12853.0,853.0
12853.0,1997.0
12853.0,1538.0
12853.0,3320.0
12853.0,2374.0
12853.0,2355.0
12853.0,959.0
12853.0,1117.0
12853.0,3628.0
12853.0,3628.0
12853.0,1205.0
12853.0,853.0
12853.0,6.0
12853.0,2374.0
12853.0,1205.0
12853.0,3320.0
12853.0,1997.0
12853.0,2374.0
44371.0,188.0
44371.0,1065.0
44371.0,1112.0
44371.0,652.0
44371.0,2350.0
44371.0,685.0
44371.0,1905.0
44371.0,923.0
44371.0,1482.0
44371.0,188.0
44371.0,528.0
44371.0,1226.0
44371.0,77.0
44371.0,2350.0
44371.0,1482.0
44371.0,1065.0
44371.0,1065.0
44371.0,188.0
44371.0,77.0
44371.0,652.0
28394.0,1216.0
28394.0,1148.0
28394.0,2736.0
28394.0,2736.0
28394.0,2.0
28394.0,1338.0
28394.0,1216.0
28394.0,687.0
28394.0,140.0
28394.0,687.0
28394.0,291.0
28394.0,1732.0
28394.0,1216.0
28394.0,2180.0
28394.0,291.0
28394.0,1060.0
28394.0,1083.0
28394.0,613.0
28394.0,1060.0
28394.0,1060.0
35914.0,0.0
35914.0,852.0
35914.0,236.0
35914.0,62.0
35914.0,0.0
35914.0,69.0
35914.0,1835.0
35914.0,229.0
35914.0,0.0
35914.0,0.0
35914.0,1835.0
35914.0,69.0
35914.0,229.0
35914.0,62.0
35914.0,0.0
35914.0,646.0
35914.0,36.0
35914.0,646.0
35914.0,0.0
21798.0,1396.0
21798.0,1146.0
21798.0,9183.0
21798.0,249.0
21798.0,619.0
21798.0,701.0
21798.0,402.0
21798.0,402.0
21798.0,619.0
21798.0,249.0
21798.0,619.0
21798.0,66.0
21798.0,276.0
21798.0,1146.0
21798.0,229.0
21798.0,67.0
21798.0,249.0
17326.0,1618.0
17326.0,6.0
17326.0,2548.0
17326.0,2703.0
17326.0,5022.0
17326.0,1065.0
17326.0,4154.0
17326.0,2199.0
17326.0,2093.0
17326.0,4197.0
17326.0,2123.0
17326.0,4265.0
17326.0,1618.0
17326.0,6362.0
17326.0,1096.0
17326.0,5022.0
17326.0,6.0
17326.0,2123.0
17326.0,2548.0
17326.0,4154.0
5329.0,8385.0
5329.0,5507.0
5329.0,12334.0
5329.0,5252.0
5329.0,9510.0
5329.0,8385.0
5329.0,14411.0
5329.0,10641.0
5329.0,25.0
5329.0,6839.0
5329.0,25.0
5329.0,9473.0
5329.0,8385.0
5329.0,7238.0
5329.0,12334.0
5329.0,5580.0
5329.0,5580.0
5329.0,12334.0
5329.0,11027.0
5329.0,5252.0
9491.0,2882.0
9491.0,1791.0
9491.0,360.0
9491.0,3191.0
9491.0,1276.0
9491.0,6453.0
9491.0,1642.0
9491.0,2878.0
9491.0,2647.0
9491.0,3191.0
9491.0,987.0
9491.0,555.0
9491.0,1276.0
9491.0,2077.0
9491.0,2647.0
9491.0,1642.0
9491.0,2077.0
9491.0,3694.0
9491.0,637.0
9491.0,755.0
37893.0,415.0
37893.0,309.0
37893.0,1223.0
37893.0,2658.0
37893.0,415.0
37893.0,6803.0
37893.0,1505.0
37893.0,1922.0
37893.0,1381.0
37893.0,1904.0
37893.0,957.0
37893.0,1381.0
37893.0,1063.0
37893.0,5248.0
37893.0,3586.0
37893.0,6803.0
37893.0,1063.0
37893.0,1496.0
37893.0,957.0
37893.0,3121.0
29906.0,649.0
29906.0,591.0
29906.0,1819.0
29906.0,2062.0
29906.0,1124.0
29906.0,854.0
29906.0,1795.0
29906.0,4927.0
29906.0,3.0
29906.0,2593.0
29906.0,832.0
29906.0,108.0
29906.0,108.0
29906.0,649.0
29906.0,1178.0
29906.0,2593.0
29906.0,1178.0
29906.0,4927.0
29729.0,2610.0
29729.0,0.0
29729.0,6263.0
29729.0,703.0
29729.0,2602.0
29729.0,478.0
29729.0,478.0
29729.0,1750.0
29729.0,0.0
29729.0,871.0
29729.0,3746.0
29729.0,478.0
29729.0,703.0
29729.0,0.0
29729.0,478.0
29729.0,1507.0
29729.0,1750.0
29729.0,0.0
29729.0,938.0
1204.0,596.0
1204.0,854.0
1204.0,4514.0
1204.0,3014.0
1204.0,1007.0
1204.0,1334.0
1204.0,1334.0
1204.0,1007.0
1204.0,2049.0
1204.0,854.0
1204.0,1007.0
1204.0,854.0
1204.0,2049.0
1204.0,0.0
1204.0,859.0
1204.0,1358.0
1204.0,859.0
1204.0,2.0
1204.0,4007.0
1204.0,859.0
30892.0,818.0
30892.0,66.0
30892.0,887.0
30892.0,437.0
30892.0,7746.0
30892.0,834.0
30892.0,1272.0
30892.0,256.0
30892.0,388.0
30892.0,887.0
30892.0,94.0
30892.0,388.0
30892.0,1152.0
30892.0,0.0
30892.0,0.0
30892.0,66.0
30892.0,887.0
30892.0,268.0
44788.0,125.0
