AS,Prefix-based LB Index,FRIEND-based LB Index,FRIEND Message Overhead,Prefix-based Message Overhead
39678.0,0.503958611294988,0.8599572277905625,62.0,517520.0
50998.0,0.27521165700931854,0.32415239554165604,5.0,1129168.0
6307.0,0.11833258570335765,0.11826807245516006,1.0,388441.0
30051.0,0.9999999999998334,0.9999999999999486,691.0,8898404.0
35300.0,0.7817250510377559,0.5092426727519619,54.0,973069.0
13322.0,0.9664156510655858,0.9999999975630363,124.0,741350.0
26211.0,0.12850822194730208,0.12854441853506085,16.0,1009316.0
55899.0,0.8523310257523533,0.9999999999999969,256.0,3504769.0
7838.0,0.1888141815222385,0.9946956103054476,78.0,4713853.0
36007.0,0.5,0.6256706447189456,97.0,123563.0
55927.0,0.5,0.50036728917235,0.0,144141.0
28924.0,0.6196619982776316,0.622228143211393,207.0,823182.0
14148.0,0.20000177736565458,0.2941105727924372,4.0,281394.0
19917.0,0.33340674035789974,0.333406515920877,0.0,247624.0
25974.0,0.5,0.5523099761605025,3.0,123890.0
13115.0,0.5000109705718698,0.999999999995824,267.0,377618.0
34127.0,0.9999999979670182,0.9999999488798307,79.0,18749570.0
16613.0,0.3333333333333333,0.4596351886011542,21.0,131422.0
33705.0,0.5139705059526191,0.615307441376428,151.0,495032.0
53027.0,0.9350400681471183,0.9999999999999991,57.0,665021.0
22221.0,0.585300077861036,0.999999988500882,250.0,6577066.0
264513.0,0.7635848739333593,0.7635302876650977,3.0,540458.0
60855.0,0.6517804983649533,0.8087476075374362,15.0,989761.0
61097.0,0.9995514711860309,0.7577077801268363,91.0,988826.0
40171.0,0.5,0.9999987482846474,31.0,123678.0
62377.0,0.5139949470927989,0.9791127732840843,3.0,249577.0
14161.0,0.9861832399794909,0.9953660033805158,32.0,991579.0
5714.0,0.5146887990472939,0.9999999984559337,59.0,494418.0
200139.0,0.9999983250254113,0.8837288618442938,313.0,3103747.0
54355.0,0.7157008179305964,0.8737375785681782,6.0,788633.0
32823.0,0.9987724743089997,0.9999999992503439,1188.0,371658.0
21874.0,0.09285266936152096,0.29816154722765714,5.0,388369.0
46475.0,0.28153347839393333,0.9888239154526758,2498.0,6348639.0
56392.0,0.5004253167532811,0.5004191553282233,1.0,256283.0
264.0,0.9999999998843034,0.9999999997638218,772.0,14639958.0
42622.0,0.5519531579324845,0.5436974992256312,5.0,988760.0
45766.0,0.4106286237910482,0.8563910279037716,7.0,541814.0
6126.0,0.16497837625764514,0.1658362594344326,21.0,1894572.0
7650.0,0.7194084743208731,0.3334255736996739,1.0,1691810.0
16653.0,0.14392704159399244,0.1445914407655241,26.0,247678.0
28432.0,0.9912014078429194,0.9999999999983439,53.0,374906.0
109.0,0.34262074852756996,0.7779386638855588,151.0,5865018.0
61153.0,0.5900046750016956,0.9670109936185937,17.0,988404.0
34759.0,0.9782186276534511,0.5198027234411193,24.0,906521.0
8161.0,0.33722021232925714,0.6553801218593263,45.0,1112469.0
21171.0,0.5057668208919882,0.9999969114771371,15.0,2247885.0
34587.0,0.9999204855400328,0.9999773654988976,15.0,991234.0
6318.0,0.16666666666666666,0.8820979922751987,67.0,124109.0
15160.0,0.8680957152489968,0.9770568428310289,7.0,754166.0
10298.0,0.8164661208406018,0.9088631285304157,125.0,865417.0
25247.0,0.5012741049055005,0.5,0.0,247963.0
21637.0,0.9999999999976942,0.9999999999999948,500.0,5335644.0
22903.0,0.7025160437657437,0.7236512369863355,269.0,1614929.0
35299.0,0.8983945092718899,0.9758474332705476,116.0,991252.0
59248.0,0.45327185231480516,0.6666647384177725,15.0,558746.0
36329.0,0.16666666666666666,0.2761345440327262,7.0,123596.0
10370.0,0.9999999754192328,0.9999999933031676,84.0,6798342.0
61483.0,0.5249300362757864,0.9999580119167559,6.0,275744.0
36459.0,0.855389379206815,0.9999999994749639,318.0,1977374.0
132203.0,0.09680814109887197,0.13875269845671515,233.0,2091588.0
54058.0,0.6846187347359052,0.9999999999629245,179.0,1236451.0
36447.0,0.5,0.5011172611014307,4.0,124152.0
41507.0,0.5088856808684137,0.5062869769817152,0.0,554555.0
27490.0,0.5000181516463217,0.5000177957380219,3.0,262047.0
